"Рег. номер cертификата соответствия (СС)","Номер бланка","Заявитель","Юридический адрес заявителя","Контакты заявителя","Изготовитель","Юридический адрес изготовителя","Контакты изготовителя","Наименование продукции","Датавыдачи СС","Дата окончания действия СС","Класс","Схема","Органпосертификации","ЦОС","Примечание"
"ОГН3.RU.1103.B00190","П02378; ПП 02322","Общество с ограниченной ответственностью НОВЫЙ ЗАВОД» (ООО НОВЫЙ ЗАВОД»)","Российская Федерация, 620141, Свердловская область, г. Екатеринбург, ул. Завокзальная, д. 5, ЛИТЕР Б.Б1.Л","+7(343)253-05-05; newplant@bk.ru","Общество с ограниченной ответственностью НОВЫЙ ЗАВОД» (ООО НОВЫЙ ЗАВОД»)","Российская Федерация, 620141, Свердловская область, г. Екатеринбург, ул. Завокзальная, д. 5, ЛИТЕР Б.Б1.Л","+7(343)253-05-05; newplant@bk.ru","Тройники прочие (тройники точеные) (шифр группы однородной продукции СДТТ-0), изготавливаемые по ГОСТ 22822-83, ГОСТ Р 55599-2013. Серийный выпуск.","16.11.2020","15.11.2023","Id","1d","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00193","П03301; ПП 02771","Акционерное общество Ижорский трубный завод» (АО Ижорский трубный завод»)","Российская Федерация, 196650, г. Санкт-Петербург, г. Колпино, Территория Ижорский завод, дом 90, лит. Д, помещение 1-Н","+7(812)448-48-24; 461-98-07; info@itz.severstal.com","Акционерное общество Ижорский трубный завод» (АО Ижорский трубный завод»)","Российская Федерация, 196650, г. Санкт-Петербург, г. Колпино, Территория Ижорский завод, дом 90, лит. Д, помещение 1-Н","+7(812)448-48-24; 461-98-07; info@itz.severstal.com","Трубы стальные электросварные прямошовные, предназначенные для строительства, реконструкции и капитального ремонта магистральных трубопроводов на рабочее давление до 11,8 МПа включительно и промысловых трубопроводов на давление до 12,9 МПа, изготовленные из стали классов прочности до К65 (Х80) (шифр подгруппы однородной продукции ТЭСП-4), изготавливаемые по ТУ 1381-011-47966425-2008 с изменениями № 1, 2, 3. Серийный выпуск.","23.11.2020","22.11.2023","Iа","1а","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00197","П01398; ПП 02344","Общество с ограниченной ответственностью Трубопроводные покрытия и технологии»","Российская Федерация, 404103, Волгоградская обл., г. Волжский, ул. Александрова, д. 63","+7(499)7505-18-58; info@concpipe.ru","Общество с ограниченной ответственностью Трубопроводные покрытия и технологии»","Российская Федерация, 404103, Волгоградская обл., г. Волжский, ул. Александрова, д. 63","+7(499)7505-18-58; info@concpipe.ru","Трубы с наружным утяжеляющим, в том числе с защитным бетонным покрытием (шифр группы однородной продукции Т-НУБП), изготавливаемые согласно ТУ 24.20.13-001-22390022-2019. Серийный выпуск.","30.11.2020","29.11.2023","Ib","1b","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00198","П01399; ПП 02345","Общество с ограниченной ответственностью Трубопроводные покрытия и технологии»","Российская Федерация, 404103, Волгоградская обл., г. Волжский, ул. Александрова, д. 63","+7(499)7505-18-58; info@concpipe.ru","Общество с ограниченной ответственностью Трубопроводные покрытия и технологии»","Российская Федерация, 404103, Волгоградская обл., г. Волжский, ул. Александрова, д. 63","+7(499)7505-18-58; info@concpipe.ru","Соединительные детали трубопровода с наружным утяжеляющим, в том числе защитным бетонным покрытием (шифр группы однородной продукции СДТ-НУБП), изготавливаемые солгасно ТУ 24.20.13-006-22390022-2017. Серийный выпуск.","30.11.2020","29.11.2023","Ib","1b","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.KZ.1103.B00217","П01418; ПП 01061","Общество с ограниченной ответственностью Торговый дом КейЭсПи Стил»","Российская Федерация, 117105, г. Москва, Новоданиловская набережная, д.6, пом.XXXVIII, ком. 1-3","+7(495)228-48-01; info@td-kspsteel.ru","Товарищество с ограниченной ответственностью KSP Steel» (КейЭсПи Стил»)","Республика Казахстан, 140000, г. Павлодар, ул. Майры 39/1, 43","+7(7182)73-87-00; office@pf.ksp-steel.kz""","Трубы бесшовные для газопроводов, газлифтных систем добычи и оборудования газовых месторождений (шифр группы однородной продукции ТБГ, подгруппы ТБГ-1 и ТБГ-2), изготавливаемые по ГОСТ 32528-2013 (с изм. № 1), ГОСТ 8731-74 (с изм. № 2-6). Серийный выпуск","19.05.2021","18.05.2024","Id","1d","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00219","П02419; ПП 01371","Акционерное общество Ижорский трубный завод» (АО Ижорский трубный завод»)","Российская Федерация, 196650, г. Санкт-Петербург, г. Колпино, Территория Ижорский завод, дом 90, лит. Д, помещение 1-Н","+7(812)448-48-24; 461-98-07;  info@itz.severstal.com","Акционерное общество Ижорский трубный завод» (АО Ижорский трубный завод»)","Российская Федерация, 196650, г. Санкт-Петербург, г. Колпино, Территория Ижорский завод, дом 90, лит. Д, помещение 1-Н","+7(812)448-48-24; 461-98-07;  info@itz.severstal.com","Трубы стальные с наружным антикоррозионным полипропиленовым покрытием (шифр группы однородной продукции Т-НАКПП), изготавливаемые по ТУ 24.20.13.190-018-47966425-2020, серийный выпуск","19.05.2021","18.05.2024","Iа","1а","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00238","П02527; ПП 01474","Акционерное общество Северский трубный завод»","Российская Федерация, 623388, Свердловская область, г. Полевской, ул. Вершинина,7","+7(34350)3-21-01; 3-41-97; stw@stw.ru","Акционерное общество Северский трубный завод»","Российская Федерация, 623388, Свердловская область, г. Полевской, ул. Вершинина,7","+7(34350)3-21-01; 3-41-97; stw@stw.ru","Трубы бесшовные для газопроводов, газлифтных систем добычи и оборудования газовых месторождений в обычном исполнении (шифр группы однородной продукции ТБГ-1), изготавливаемые по ГОСТ 8731-74 с изм. 2-6 и ГОСТ 32528-2013 с изм. 1, серийный выпуск","09.07.2021","08.07.2024","Ia","1a","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00245","П01819; ПП 01641","Акционерное общество Северский трубный завод»","Российская Федерация, 623388, Свердловская область, г. Полевской, ул. Вершинина,7","+7(34350)3-21-01; stw@stw.ru","Акционерное общество Северский трубный завод»","Российская Федерация, 623388, Свердловская область, г. Полевской, ул. Вершинина,7","+7(34350)3-21-01; stw@stw.ru","Трубы бесшовные обсадные в обычном исполнении (шифр группы однородной продукции ТБО, подгруппа ТБО-1), изготавливаемые по ГОСТ 632-80 (с изменениями № 1-4), серийный выпуск","29.09.2021","28.09.2024","Ia","1a","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00246","П01820; ПП 01642","Акционерное общество Северский трубный завод»","Российская Федерация, 623388, Свердловская область, г. Полевской, ул. Вершинина,7","+7(34350)3-21-01; stw@stw.ru","Акционерное общество Северский трубный завод»","Российская Федерация, 623388, Свердловская область, г. Полевской, ул. Вершинина,7","+7(34350)3-21-01; stw@stw.ru","Трубы бесшовные обсадные в обычном исполнении (шифр группы однородной продукции ТБО, подгруппа ТБО-1), изготавливаемые по ГОСТ 31446-2017 (с поправкой), серийный выпуск","29.09.2021","28.09.2024","II a","2a","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00276","П03162; ПП 02404","Общество с ограниченной ответственностью СМ Деталь»","Российская Федерация, 624002, Свердловская обл., Сысертский р-он, г. Арамиль, ул. Свободы, д. 42Г","+7(343)318-21-09; dir@sm-detal.ru","Общество с ограниченной ответственностью СМ Деталь»","Российская Федерация, 624002, Свердловская обл., Сысертский р-он, г. Арамиль, ул. Свободы, д. 42Г","+7(343)318-21-09; dir@sm-detal.ru","Отводы, в том числе крутоизогнутые отводы, изготовленные методом индукционного нагрева труб (шифр группы однородной продукции СДТО-2), изготавливаемые по ТУ 1469-003-90284633-2015 с изм. № 1, серийный выпуск","17.12.2021","16.12.2024","Ic","1с","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.KR.1104.A00061","П00328;","SeAH Steel Corporation CO, LTD.","SeAH Tower, 45 Yanghwa-ro, Mapo-gu, Seoul 121-841, Korea","82-02-6970-1088; victor.jang@seah.co.kr","SeAH Steel Corporation","Pohang Plant, 136, Goedong-ro, Nam-gu, Pohang-si, Gyeongsangbuk-do, Korea","82-54-271-4243; kimka82@seah.co.kr","Тип трубы стальные электросварные прямошовные номинальным диаметром DN500 с толщиной стенки 9,53 мм (шифр группы однородной продукции ТЭСП-8), изготавливаемые по техническим условиям на закупку труб и деталей трубопроводов 0055-4.0.0.00.СРС-ТМ.ТТ-0011 и поставляемые по ЕРС-контракту АГПЗ-900/0055 для монтажа технологических трубопроводов по проекту Строительство Амурского ГПЗ, Партия трубной продукции РС202S0060-99-NS (5021600), 1191,80 м, заказ на поставку 1163700292 от 04.09.2018","18.07.2019","","III e","3e","ОС ЗАО НДЦ НПФ Русская лаборатория», рег. № ОГН3.RU.1104 (ЗАО НДЦ НПФ Русская лаборатория»)","Трубная продукция",""
"ОГН3.CN.1104.A00062","П00272;","YANGZHOU HUAYU PIPE FITTING CO., LTD","No.99, Baoying Street, Baoying County, Jiangsu Province, China","0086-514-8829 0587; sales@yz-huayu.com","YANGZHOU HUAYU PIPE FITTING CO., LTD","No.99, Baoying Street, Baoying County, Jiangsu Province, China","0086-514-8829 0587; sales@yz-huayu.com","Тип крутоизогнутые отводы, изготовленные протяжкой на рогообразном сердечнике номинальным диаметром DN100 толщиной стенки 6,02 мм (шифр группы однородной продукции СДТО-4) в соответствии с Техническими условиями на закупку труб и деталей трубопроводов» 0055-4.0.0.00.CPC-TM.TT-0011 и поставляемые по EPC-контракту АГПЗ-900/0055 для монтажа технологических трубопроводов по проекту Строительство Амурского ГПЗ. Партия продукции № 5042015 (PH1807027) – 301 шт., заказ на поставку Р2АМ-5-0014-01-В01","23.07.2019","","III e","3e","ОС ЗАО НДЦ НПФ Русская лаборатория», рег. № ОГН3.RU.1104 (ЗАО НДЦ НПФ Русская лаборатория»)","Трубная продукция",""
"ОГН3.CN.1104.A00063","П00273;","YANGZHOU HUAYU PIPE FITTING CO., LTD","No.99, Baoying Street, Baoying County, Jiangsu Province, China","0086-514-8829 0587; sales@yz-huayu.com","YANGZHOU HUAYU PIPE FITTING CO., LTD","No.99, Baoying Street, Baoying County, Jiangsu Province, China","0086-514-8829 0587; sales@yz-huayu.com","Тип переходы, изготовленные из бесшовной трубы, методом штамповки номинальным диаметром DN300 x DN150 толщиной стенки 9,53 мм (шифр группы однородной продукции СДТП-3) в соответствии с Техническими условиями на закупку труб и деталей трубопроводов» 0055-4.0.0.00.CPC-TM.TT-0011 и поставляемые по EPC-контракту АГПЗ-900/0055 для монтажа технологических трубопроводов по проекту Строительство Амурского ГПЗ. Партия продукции № 5092015 (PH1807081) – 33 шт., заказ на поставку Р2АМ-5-0014-01-В01","23.07.2019","","III e","3e","ОС ЗАО НДЦ НПФ Русская лаборатория», рег. № ОГН3.RU.1104 (ЗАО НДЦ НПФ Русская лаборатория»)","Трубная продукция",""
"ОГН3.KR.1104.A00064","П00274;","HYUNDAI RB CO., LTD","No.26, Daejeong-ro, Onsan-eup, Ulju-gun, Ulsan, Korea","(82) 52-238-7001; shpark@hyundairb.com; eric@hyundairb.com","HYUNDAI RB CO., LTD","#26, Daejeong-ro, Onsan-eup, Ulju-gun, Ulsan, Korea","(82) 52-238-7001; shpark@hyundairb.com; eric@hyundairb.com","Тип трубы стальные электросварные прямошовные номинальным диаметром DN800 c толщиной стенки 10,31 мм (шифр группы однородной продукции ТЭСП-8), изготавливаемые по техническим требованиям на поставку компонентов трубопроводной обвязки 0055-0.0.0.00.000-TM.TT-0006 и поставляемые по ЕРС-контракту АГПЗ-955/0055 для монтажа технологических трубопроводов по проекту Строительство Амурского ГПЗ. Партия продукции I1347194 – 384 м, заказ на поставку № 7500068487 от 14.03.2018.","23.07.2019","","III e","3e","ОС ЗАО НДЦ НПФ Русская лаборатория», рег. № ОГН3.RU.1104 (ЗАО НДЦ НПФ Русская лаборатория»)","Трубная продукция",""
"ОГН3.KR.1104.A00065","П00275;","HYUNDAI RB CO., LTD","No.26, Daejeong-ro, Onsan-eup, Ulju-gun, Ulsan, Korea","(82) 52-238-7001; shpark@hyundairb.com; eric@hyundairb.com","HYUNDAI RB CO., LTD","#26, Daejeong-ro, Onsan-eup, Ulju-gun, Ulsan, Korea","(82) 52-238-7001; shpark@hyundairb.com; eric@hyundairb.com","Тип трубы стальные электросварные прямошовные номинальным диаметром DN700 толщиной стенки 25,4 мм (шифр группы однородной продукции ТЭСП-8), изготавливаемые по техническим требованиям на поставку компонентов трубопроводной обвязки 0055-0.0.0.00.000-TM.TT-0006 и поставляемые по ЕРС-контракту АГПЗ-955/0055 для монтажа технологических трубопроводов по проекту Строительство Амурского ГПЗ. Партия продукции I44268417 – 264 м, заказ на поставку № 7500068487 от 14.03.2018.","23.07.2019","","III e","3e","ОС ЗАО НДЦ НПФ Русская лаборатория», рег. № ОГН3.RU.1104 (ЗАО НДЦ НПФ Русская лаборатория»)","Трубная продукция",""
"ОГН3.KR.1104.A00066","П00276;","HYUNDAI RB CO., LTD","No.26, Daejeong-ro, Onsan-eup, Ulju-gun, Ulsan, Korea","(82) 52-238-7001; shpark@hyundairb.com; eric@hyundairb.com","HYUNDAI RB CO., LTD","#26, Daejeong-ro, Onsan-eup, Ulju-gun, Ulsan, Korea","(82) 52-238-7001; shpark@hyundairb.com; eric@hyundairb.com","Тип трубы стальные электросварные прямошовные номинальным диаметром DN1400 c толщиной стенки 20,62 мм (шифр группы однородной продукции ТЭСП-8) изготавливаемые по техническим требованиям на поставку компонентов трубопроводной обвязки 0055-0.0.0.00.000-TM.TT-0006 и поставляемые по ЕРС-контракту АГПЗ-955/0055 для монтажа технологических трубопроводов по проекту Строительство Амурского ГПЗ. Партия продукции I44268756 – 540 м, заказ на поставку № 7500068487 от 14.03.2018.","23.07.2019","","III e","3e","ОС ЗАО НДЦ НПФ Русская лаборатория», рег. № ОГН3.RU.1104 (ЗАО НДЦ НПФ Русская лаборатория»)","Трубная продукция",""
"ОГН3.KR.1104.A00067","П00277;","HYUNDAI RB CO., LTD","No.26, Daejeong-ro, Onsan-eup, Ulju-gun, Ulsan, Korea","(82) 52-238-7001; shpark@hyundairb.com; eric@hyundairb.com","HYUNDAI RB CO., LTD","#26, Daejeong-ro, Onsan-eup, Ulju-gun, Ulsan, Korea","(82) 52-238-7001; shpark@hyundairb.com; eric@hyundairb.com","Тип трубы стальные электросварные прямошовные номинальным диаметром DN1200 толщиной стенки 19,05 мм (шифр группы однородной продукции ТЭСП-8), изготавливаемые по техническим требованиям на поставку компонентов трубопроводной обвязки 0055-0.0.0.00.000-TM.TT-0006 и поставляемые по ЕРС-контракту АГПЗ-955/0055 для монтажа технологических трубопроводов по проекту Строительство Амурского ГПЗ.  Партия продукции I44268704, заказ на поставку № 7500068487, количество – 456 м.","23.07.2019","","III e","3e","ОС ЗАО НДЦ НПФ Русская лаборатория», рег. № ОГН3.RU.1104 (ЗАО НДЦ НПФ Русская лаборатория»)","Трубная продукция",""
